Passenger_ID,Age,Gender,Travel_Class,Travel_Distance,Ticket_Price,Delay_Minutes,Satisfaction_Score
119,23,Male,Sleeper,310,310,100,5
120,50,Male,First,1508,7540,3,9
121,44,Male,First,427,2135,69,8
122,23,Male,First,1999,9995,151,4
123,58,Male,First,172,516,23,9
124,28,Female,First,333,999,140,5
125,45,Male,Second,483,966,51,9
126,45,Male,Second,441,1323,100,6
127,56,Female,Second,289,867,145,5
128,26,Male,First,1529,6116,4,9
129,68,Female,Sleeper,445,890,53,9
130,39,Female,Second,170,340,1,9
131,24,Male,Sleeper,1258,2516,93,7
132,59,Female,Sleeper,1763,1763,45,8
133,22,Male,First,1166,5830,2,10
134,22,Female,Second,409,818,138,5
135,59,Female,Sleeper,1446,1446,74,9
136,23,Male,Second,1735,5205,36,9
137,65,Male,Sleeper,1305,2610,28,8
138,36,Male,Sleeper,1122,1122,57,8
139,68,Female,First,949,3796,27,9
140,18,Female,First,847,3388,124,5
141,28,Female,Sleeper,977,1954,78,6
142,55,Female,Second,1945,3890,173,4
143,29,Female,Sleeper,1634,1634,127,5
144,42,Male,Second,1924,5772,98,6
145,18,Female,Sleeper,1699,3398,88,6
146,33,Male,Sleeper,1398,1398,108,7
147,67,Male,First,243,1215,14,10
148,45,Male,First,72,216,144,4
149,60,Male,Second,1411,4233,118,5
150,65,Male,Second,1583,3166,52,8
151,28,Female,Second,1541,3082,21,10
152,52,Male,Second,1933,5799,79,6
153,56,Male,Sleeper,1066,2132,55,8
154,62,Male,Sleeper,1477,1477,104,7
155,52,Male,First,1540,7700,69,8
156,29,Female,First,1404,5616,60,8
157,29,Female,Second,827,1654,83,8
158,50,Male,Sleeper,356,712,169,3
159,61,Male,First,941,2823,105,6
160,61,Female,Second,1920,3840,95,6
161,45,Male,First,1420,5680,77,7
162,62,Female,Sleeper,360,720,25,8
163,55,Male,First,920,3680,148,5
164,18,Female,Sleeper,1094,1094,10,10
165,23,Female,Second,992,1984,108,7
166,35,Female,Sleeper,785,1570,20,10
167,26,Female,First,1708,5124,139,5
168,67,Male,Second,1927,3854,107,5
169,60,Female,Second,120,240,56,9
170,68,Female,First,377,1508,177,3
171,65,Female,First,1179,3537,100,7
172,34,Female,Sleeper,1941,1941,173,3
173,67,Male,Sleeper,1668,3336,103,6
174,61,Male,Sleeper,1639,1639,37,10
175,69,Female,First,436,2180,134,5
176,25,Female,Sleeper,1942,1942,178,2
177,60,Male,First,1537,6148,128,6
178,58,Female,First,1429,4287,57,9
179,45,Female,Second,947,2841,105,5
180,30,Male,Sleeper,881,1762,11,10
181,45,Female,Second,209,627,61,7
182,42,Female,Sleeper,1686,1686,119,5
183,56,Female,First,1163,3489,109,5
184,57,Male,First,380,1520,47,8
185,26,Female,Sleeper,1972,3944,139,5
186,57,Female,Sleeper,1496,2992,161,3
187,47,Female,Second,1872,5616,102,6
188,41,Female,Sleeper,1142,2284,160,5
189,60,Female,Sleeper,365,365,152,3
190,59,Female,First,590,2950,20,9
191,37,Male,First,824,3296,66,8
192,49,Female,Second,1666,3332,48,9
193,42,Male,Second,1233,2466,132,6
194,31,Female,First,602,1806,58,9
195,47,Male,Sleeper,492,492,83,8
196,29,Male,Sleeper,715,1430,88,8
197,32,Female,Second,670,1340,97,7
198,64,Male,First,1100,4400,171,4
199,25,Female,Sleeper,871,871,120,5
200,20,Male,Sleeper,1493,1493,62,8
